,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NB: 2025/26 are interim figures,,,
,2010-11,,,,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2021-22,,,,2022-23,,,,2023-24,,,,2024-25,,,,2025-26,,,
Site,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e
Adult Training Centre - Aspire - Bramley Fulfilling Lives,"99,469","71,388","28,081","47,339","103,812","76,668","27,144","47,145","94,552","69,554","24,998","43,132","97,125","68,820","28,305","44,648","95,690","69,065","26,625","46,442","94,200","60,142","34,058","41,831","78,686","54,849","23,837","30,981","95,889","68,511","27,378","31,836","97,120","72,458","24,662","26,814","90,712","65,932","24,780","22,629","80,757","58,155","22,602","18,357","85,077","61,819","23,258","17,624","88,271","60,390","27,881","17,452","79,112","57,206","21,906","16,382","91,580","61,572","30,009","18,060",86300.38848,69261.1,17039.28848,15275.16876
ARCHIVE - Caretakers Premises - Croydon Street Industrial Estate,343,282,61,164.43247,76,56,20,34.5152,47,27,20,21.33014,37,27,10,16.97056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Caretakers Premises - Leeds Transitional Learning Centre,813,629,184,388.43719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Caretakers Premises - Micklefield House Lodge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0.281248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Caretakers Premises - West Ardsley Adult Training Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Changing Pavilion - Cliff Park Pavilion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Changing Pavilion - Cranmore and Raylands Bowling Pavilion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Changing Pavilion - Micklefield Park Bowling Green,"12,336","10,907","1,429","5,939","13,434","9,769","3,665","6,102","8,725","5,106","3,619","3,961","8,713","5,108","3,605","4,057","15,792","5,101","10,691","7,462","2,894","2,894",0,"1,338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Changing Pavilion - Moorland Road Changing Rooms,"8,844","6,624","2,220","4,218","9,466","7,253","2,213","4,297","10,185","7,169","3,016","4,641","10,585","7,975","2,610","4,843","9,220","6,830","2,390","4,480","6,082","4,095","1,987","2,711","7,951","3,790","4,161","3,025","10,407","6,820","3,587","3,413","9,423","6,206","3,217","2,579","5,522","5,522",0,"1,411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Changing Pavilion - Oulton Lane Sports Pavilion,"4,260","3,195","1,065","2,032","27,952","16,154","11,798","12,730","27,824","27,352",472,"12,793","1,724","1,299",425,788.73902,458,458,0,226.37108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Changing Pavilion - Potternewton Sports Pavilion,"3,741","1,553","2,188","1,743","2,508","1,559",949,"1,141","2,916","1,830","1,086","1,326","3,221","2,043","1,178","1,492","2,965","1,825","1,140","1,429","3,447","2,156","1,291","1,528","2,623","1,293","1,329","1,000",99.8,99.8,0,35.085688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Changing Pavilion - Pudsey Park Veterans Shelter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Changing Pavilion - Scott Hall Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Changing Pavilion - Sixth Avenue Soccer Changing Rooms,"15,071","11,456","3,615","7,194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
