Q1. Do you work for Leeds City Council,Q5. Work Postcode,Q6. Home Postcode,Q7. From home I,Q8. For how many minutes,Q9. To (location),Q10. Then I,Q11. For how many minutes,Q12. To (location),Q13. Then I,Q14. For how many minutes,Q15. To (location),Q16. Then I,Q17. For how many minutes,Q18. To (location),Q19. Then I,Q20. For how many minutes,Q21. To (location),Q22. Then I,Q23. For how many minutes,Q24. To (location),Q25. What was the main mode of transport you used to travel to work today? (Please select the mode of transport used for the longest distance travelled),Q26. On Monday,Q27. On Tuesday,Q28. On Wednesday?,Q29. On Thursday?,Q30. On Friday?,Q31. On Saturday?,Q32. On Sunday?,Q33. How many days a week do you usually work?,"Q34. How many days a week do you commute to your workplace? (i.e. only days you will travel to work, not work from home)",Q35. If you own a car what fuel type does it use?,"Q36. If you own a petrol, diesel or hybrid vehicle what engine size does it have?",Q37. At your usual workplace does your Employer provide you with Car/Van Parking?,Q38. Where do you usually park your Car/Van when you drive to work?,Q39. How much do you pay for parking per day?,"Q40. If you no longer had access to car parking at your usual place of work, what alternatives would you consider? (Please rank each alternative by how likely you think you would be to switch to that method of travel from 1 low likelihood to 5 high likelihood)",Q41 a,Q41 b,Q41 c,Q41 d,Q41 e,Q41 f,Q41 g,Q41 h,Q41 i,Q41 j,Q40 k,Q41. How would you describe your gender?,Q42. What is your age group?,Q43. What is your employment status?
Yes,LS2 ,LS15,Bus,40,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bus,Work from Home,Work from Home,Work from Home,Bus,Work from Home,N/A - Non working day,N/A - Non working day,5,1,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,35-44,Working full-time
Yes,LS2 ,Ls13,"Walk, wheel or run",2,The bus stop,Bus,30,The bus stop,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Bus,Work from Home,Work from Home,Work from Home,Bus,Work from Home,N/A - Non working day,N/A - Non working day,5,1,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,45-54,Working full-time
Yes,LS2 ,wf13,"Walk, wheel or run",10,The bus stop,Bus,70,The bus stop,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Work from Home,Bus,Work from Home,N/A - Non working day,N/A - Non working day,5,1,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
Yes,LS2 ,LS8 ,"Walk, wheel or run",8,The bus stop,Bus,15,The bus stop,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Work from Home,Bus,Work from Home,N/A - Non working day,N/A - Non working day,5,1,Petrol,Petrol up to 1.4L,No,In a public car park,Between £5-£10,5 high,2,2,2,5 high,2,1 low,1 low,1 low,1 low,5 high,1 low,Woman,45-54,Working full-time
Yes,LS2 ,ls25,"Walk, wheel or run",7,The bus stop,Bus,70,The bus stop,"Walk, wheel or run",25,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Work from Home,Bus,Work from Home,N/A - Non working day,N/A - Non working day,5,1,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,55-64,Working full-time
Yes,LS2 ,ls17,"Walk, wheel or run",7,The bus stop,Bus,28,The bus stop,"Walk, wheel or run",8,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Work from Home,Bus,Work from Home,N/A - Non working day,N/A - Non working day,5,1,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,35-44,Working full-time
Yes,LS2 ,LS16,"Walk, wheel or run",3,The bus stop,Bus,35,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Work from Home,Bus,Work from Home,N/A - Non working day,N/A - Non working day,5,1,Petrol,Petrol up to 1.4L,No,In a public car park,Between £5-£10,1 low,1 low,1 low,1 low,5 high,2,1 low,1 low,1 low,1 low,5 high,1 low,Woman,35-44,Working full-time
Yes,LS2 ,S74 ,Car/Van (Single Occupant),50,Car Park,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,5,4,Diesel,Diesel more than 2.0L,No,In a public car park,Between £5-£10,1 low,1 low,3,1 low,1 low,3,1 low,1 low,1 low,1 low,2,-,Man,55-64,Working full-time
Yes,LS2 ,YO17,Car/Van (Single Occupant),75,Car Park,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,5,3,Petrol,Petrol 1.4-2.0L,-,In a public car park,Between £5-£10,-,-,3,-,-,-,2,-,-,-,-,5 high,Woman,25-34,Working full-time
Yes,LS2 ,S75 ,Car/Van (Single Occupant),45,Car Park,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,4,1,Plug-in Hybrid,Petrol more than 2.0L,No,In a public car park,Between £5-£10,1 low,1 low,1 low,1 low,1 low,3,1 low,1 low,1 low,1 low,5 high,1 low,Woman,35-44,Working part-time
Yes,LS2 ,HD6 ,"Walk, wheel or run",15,The railway station,Train,35,The railway station,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,Train,Work from Home,Work from Home,Train,Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,5,2,Self-charging hybrid,Petrol 1.4-2.0L,No,In a public car park,Between £5-£10,1 low,1 low,5 high,1 low,3,5 high,1 low,1 low,1 low,1 low,5 high,1 low,Man,45-54,Working full-time
Yes,LS2 ,ls28,Car/Van Share (passenger),35,Car Park,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,N/A - Non working day,Car/Van (Single Occupant),Work from Home,Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol up to 1.4L,No,In a public car park,Between £5-£10,1 low,1 low,2,5 high,3,4,1 low,1 low,1 low,1 low,4,1 low,Woman,25-34,Working full-time
Yes,LS2 ,LS16,Car/Van (Single Occupant),10,The railway station,Train,15,The railway station,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,N/A - Non working day,Train,Work from Home,Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,5,1,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
Yes,LS2 ,WF1 ,Car/Van (Single Occupant),20,The Park & Ride,Bus,15,The bus stop,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Work from Home,Work from Home,Work from Home,Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,5,1,Petrol,Petrol up to 1.4L,No,park and ride,park and ride return ticket £3.60,1 low,1 low,5 high,1 low,3,1 low,1 low,1 low,1 low,1 low,5 high,1 low,Woman,55-64,Working full-time
Yes,LS2 ,LS15,Car/Van (Single Occupant),50,Car Park,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Work from Home,Work from Home,Work from Home,Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,5,1,Petrol,Petrol up to 1.4L,No,In a public car park,"£9 discounted rate for LCC staff at Merrion Centre City Park, would be £23 otherwise",1 low,1 low,1 low,3,1 low,3,1 low,1 low,1 low,1 low,5 high,5 high,Man,65-74,Working full-time
Yes,LS2 ,YO8 ,Car/Van share (driver),20,The railway station,"Walk, wheel or run",20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van Share (Driver),Work from Home,Work from Home,Work from Home,Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,5,1,Petrol,Petrol 1.4-2.0L,No,In a public car park,Don't pay (free),-,-,-,5 high,-,-,-,-,-,-,5 high,-,Woman,55-64,Working full-time
Yes,LS2 ,WF10,Car/Van share (driver),45,Car Park,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),Work from Home,N/A - Non working day,N/A - Non working day,5,4,Petrol,Petrol up to 1.4L,No,In another private car park,Less than £5,1 low,1 low,1 low,1 low,3,3,1 low,1 low,1 low,1 low,3,1 low,Man,25-34,Working full-time
Yes,LS2 ,HD6 ,Car/Van share (driver),45,The Park & Ride,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Car/Van Share (Driver),Car/Van Share (Driver),Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol 1.4-2.0L,No,park and ride,Don't pay (free),5 high,1 low,-,-,-,-,-,-,-,-,-,-,Man,45-54,Working full-time
Yes,LS2 ,s75 ,Car/Van (Single Occupant),35,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,N/A - Non working day,Car/Van Share (Driver),Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol up to 1.4L,No,On the Street,Between £5-£10,-,-,-,-,-,-,-,-,-,-,-,-,Man,25-34,Apprenticeship/training
Yes,LS2 ,DN17,Car/Van share (driver),60,The Park & Ride,Bus,15,The bus stop,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Work from Home,Work from Home,Work from Home,Car/Van Share (Driver),Work from Home,N/A - Non working day,N/A - Non working day,5,1,Petrol,Petrol up to 1.4L,No,Park & Ride,Less than £5,-,-,5 high,-,-,-,-,-,-,-,-,-,Man,45-54,Working full-time
Yes,LS2 ,ls17,"Walk, wheel or run",5,The bus stop,"Walk, wheel or run",2,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van Share (Driver),Work from Home,Work from Home,Work from Home,Car/Van Share (Driver),Work from Home,N/A - Non working day,N/A - Non working day,5,1,Diesel,Diesel 1.7-2.0L,No,In another private car park,More than £10,5 high,-,-,-,-,-,-,-,-,-,-,-,Woman,35-44,Working full-time
Yes,LS2 ,LS17,Car/Van share (driver),15,Car Park,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Work from Home,Car/Van Share (Driver),Work from Home,N/A - Non working day,N/A - Non working day,5,1,Petrol,Petrol up to 1.4L,No,On the Street,Don't pay (free),4,-,-,-,5 high,-,-,-,-,-,-,-,Man,45-54,Working full-time
Yes,LS2 ,HX50,Work from Home (Full time),0,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Work from Home,Car/Van Share (Driver),Work from Home,N/A - Non working day,N/A - Non working day,5,1,Petrol,Petrol 1.4-2.0L,No,In a public car park,Between £5-£10,1 low,1 low,5 high,4,4,4,1 low,1 low,1 low,1 low,5 high,1 low,Man,35-44,Working full-time
Yes,LS2 ,LS17,Car/Van Share (passenger),20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,N/A - Non working day,Work from Home,Car/Van (Single Occupant),Car/Van Share (Passenger),Work from Home,N/A - Non working day,N/A - Non working day,5,3,Petrol,Petrol up to 1.4L,No,In a public car park,Between £5-£10,1 low,1 low,1 low,1 low,4,1 low,1 low,1 low,1 low,1 low,1 low,1 low,Woman,45-54,Working full-time
Yes,LS2 ,YO10,Car/Van (Single Occupant),40,Car Park,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,N/A - Non working day,Work from Home,Car/Van Share (Passenger),Car/Van Share (Passenger),Work from Home,N/A - Non working day,N/A - Non working day,5,2,Diesel,Diesel up to 1.7L,No,In a public car park,Between £5-£10,1 low,1 low,3,2,2,5 high,-,1 low,1 low,1 low,2,-,Man,55-64,Working full-time
Yes,LS2 ,LS17,Car/Van Share (passenger),25,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van Share (Passenger),Work from Home,Work from Home,Car/Van Share (Passenger),Car/Van Share (Passenger),Work from Home,N/A - Non working day,N/A - Non working day,5,2,Diesel,Diesel 1.7-2.0L,-,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,45-54,Working full-time
Yes,LS2 ,LS8 ,Car/Van Share (passenger),15,Car Park,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,N/A - Non working day,Car/Van Share (Driver),Work from Home,Car/Van Share (Passenger),Work from Home,N/A - Non working day,N/A - Non working day,4,2,Petrol,Petrol up to 1.4L,No,In a public car park,Between £5-£10,2,1 low,1 low,1 low,5 high,1 low,1 low,2,1 low,1 low,3,-,Woman,35-44,Working part-time
Yes,LS2 ,LS64,Car/Van Share (passenger),15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Car/Van Share (Passenger),Car/Van Share (Passenger),Work from Home,Car/Van Share (Passenger),Work from Home,N/A - Non working day,N/A - Non working day,5,3,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
Yes,LS2 ,LS14,Car/Van Share (passenger),15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Car/Van Share (Passenger),Work from Home,Work from Home,Car/Van Share (Passenger),Work from Home,N/A - Non working day,N/A - Non working day,5,2,Plug-in Hybrid,Petrol 1.4-2.0L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,35-44,Working full-time
Yes,LS2 ,LS13,Cycle,40,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cycle,Cycle,Cycle,Cycle,Cycle,Work from Home,N/A - Non working day,N/A - Non working day,5,4,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,55-64,Working full-time
Yes,LS2 ,LS16,Cycle,30,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Cycle,Cycle,Cycle,Cycle,Work from Home,N/A - Non working day,N/A - Non working day,5,4,Petrol,Diesel up to 1.7L,No,On the Street,Don't pay (free),3,5 high,1 low,1 low,5 high,1 low,1 low,1 low,1 low,1 low,2,1 low,Man,45-54,Working full-time
Yes,LS2 ,LS18,Cycle,30,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cycle,Cycle,Work from Home,Cycle,Cycle,Work from Home,N/A - Non working day,N/A - Non working day,5,3,Diesel,Diesel 1.7-2.0L,No,In a public car park,Between £5-£10,-,5 high,1 low,1 low,3,3,-,1 low,1 low,1 low,3,1 low,Man,45-54,Working full-time
Yes,LS2 ,LS19,Cycle,30,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,N/A - Non working day,Work from Home,Cycle,Cycle,Work from Home,N/A - Non working day,N/A - Non working day,3,1,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,55-64,Working part-time
Yes,LS2 ,LS16,Cycle,20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cycle,Work from Home,Cycle,Work from Home,Cycle,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol up to 1.4L,No,In a public car park,Between £5-£10,2,5 high,1 low,1 low,4,1 low,1 low,1 low,1 low,1 low,3,1 low,Man,25-34,Working full-time
Yes,LS2 ,LS26,Cycle,40,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Cycle,Work from Home,Cycle,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,45-54,Working full-time
Yes,LS2 ,LS6 ,Cycle,10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Cycle,Work from Home,Cycle,Work from Home,N/A - Non working day,N/A - Non working day,5,2,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,35-44,Working full-time
Yes,LS2 ,WF10,Cycle,70,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Cycle,Work from Home,Cycle,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol up to 1.4L,No,Park and ride,Cost of park and ride: £4,1 low,5 high,5 high,1 low,1 low,1 low,1 low,1 low,1 low,1 low,2,1 low,Man,45-54,Working full-time
Yes,LS2 ,LS26,Cycle,45,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,N/A - Non working day,N/A - Non working day,Work from Home,Cycle,Work from Home,N/A - Non working day,N/A - Non working day,3,1,Plug-in Hybrid,Petrol more than 2.0L,No,On the Street,Don't pay (free),4,5 high,3,3,2,3,-,1 low,4,4,5 high,-,Man,45-54,Working part-time
Yes,LS2 ,LS6 ,Cycle,10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cycle,Work from Home,Work from Home,Work from Home,Cycle,Work from Home,N/A - Non working day,N/A - Non working day,5,1,Petrol,Petrol more than 2.0L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,25-34,Working full-time
Yes,LS2 ,ls9 ,Cycle,15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cycle,Work from Home,Work from Home,Work from Home,Cycle,Work from Home,N/A - Non working day,N/A - Non working day,1,1,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,55-64,Working full-time
Yes,LS2 ,LS25,Cycle,35,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Work from Home,Cycle,Work from Home,N/A - Non working day,N/A - Non working day,5,1,Diesel,Diesel more than 2.0L,No,In a public car park,"Infrequent car commute, but between £5-10 when I do",5 high,5 high,5 high,1 low,5 high,5 high,1 low,1 low,1 low,1 low,5 high,-,Man,45-54,Working full-time
Yes,LS2 ,ls8 ,Motorcycle,20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,N/A - Non working day,Motorcycle,Work from Home,N/A - Non working day,N/A - Non working day,5,1,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,55-64,Working full-time
Yes,LS2 ,LS26,Car/Van (Single Occupant),20,Car Park,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,N/A - Non working day,Car/Van (Single Occupant),N/A - Non working day,Work from Home,N/A - Non working day,N/A - Non working day,3,2,Petrol,Petrol up to 1.4L,No,In a public car park,Between £5-£10,1 low,1 low,5 high,1 low,1 low,1 low,1 low,1 low,1 low,1 low,2,1 low,Woman,55-64,Working part-time
Yes,LS2 ,LS6 ,Cycle,25,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cycle,Work from Home,Cycle,Cycle,N/A - Non working day,Work from Home,N/A - Non working day,N/A - Non working day,4,2,Petrol,Petrol 1.4-2.0L,No,On the Street,Don't pay (free),5 high,5 high,1 low,1 low,4,1 low,1 low,1 low,1 low,3,5 high,1 low,Man,35-44,Working full-time
Yes,LS2 ,BD20,Car/Van (Single Occupant),10,The railway station,Train,40,The railway station,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,Train,Work from Home,Work from Home,Train,N/A - Non working day,Work from Home,N/A - Non working day,N/A - Non working day,4,1,Petrol,Petrol up to 1.4L,Don't Know,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,55-64,Working part-time
Yes,LS2 ,LS27,Cycle,20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Cycle,Cycle,Work from Home,N/A - Non working day,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Self-charging hybrid,Petrol 1.4-2.0L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,35-44,Working full-time
Yes,LS2 ,ls13,Cycle,10,Pick up/drop off children,Cycle,40,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,N/A - Non working day,Cycle,Work from Home,N/A - Non working day,Work from Home,N/A - Non working day,N/A - Non working day,3,1,Diesel,Diesel up to 1.7L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,45-54,Working part-time
Yes,LS2 ,LS27,Car/Van (Single Occupant),15,The Park & Ride,Bus,15,The bus stop,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,Bus,Park and Ride (Bus),Work from Home,Park and Ride (Bus),Park and Ride (Bus),Work from Home,N/A - Non working day,N/A - Non working day,5,1,Petrol,Petrol up to 1.4L,No,In a public car park,Between £5-£10,1 low,1 low,5 high,2,3,2,1 low,1 low,1 low,1 low,5 high,1 low,Woman,35-44,Working full-time
Yes,LS2 ,S71 ,Car/Van share (driver),30,The Park & Ride,Bus,20,The Park & Ride,"Walk, wheel or run",20,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Park and Ride (Bus),Park and Ride (Bus),Work from Home,N/A - Non working day,N/A - Non working day,5,3,Petrol,Petrol up to 1.4L,No,In a public car park,Between £5-£10,1 low,1 low,5 high,2,1 low,2,1 low,1 low,1 low,1 low,5 high,1 low,Woman,45-54,Working full-time
Yes,LS2 ,Wf2 ,Car/Van share (driver),10,The Park & Ride,Bus,10,The bus stop,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,N/A - Non working day,Work from Home,Park and Ride (Bus),Work from Home,Park and Ride (Bus),Work from Home,N/A - Non working day,N/A - Non working day,5,2,Diesel,Diesel 1.7-2.0L,No,In a public car park,Less than £5,1 low,1 low,5 high,1 low,2,3,1 low,1 low,1 low,1 low,5 high,1 low,Man,25-34,Working full-time
Yes,LS2 ,ls27,"Walk, wheel or run",5,The railway station,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Park and Ride (Bus),Work from Home,Park and Ride (Bus),Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol 1.4-2.0L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,45-54,Working full-time
Yes,LS2 ,LS26,Car/Van Share (passenger),25,The Drivers place of work ,"Walk, wheel or run",19,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van Share (Passenger),Car/Van Share (Passenger),Car/Van Share (Passenger),Car/Van (Single Occupant),Taxi,Work from Home,N/A - Non working day,N/A - Non working day,5,4,Petrol,Petrol up to 1.4L,No,In a public car park,Between £5-£10,1 low,1 low,2,1 low,5 high,1 low,1 low,4,1 low,1 low,3,1 low,Woman,45-54,Working full-time
Yes,LS2 ,LS13,"Walk, wheel or run",10,The bus stop,Bus,20,Gym,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Cycle,Bus,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol up to 1.4L,No,On the Street,Don't pay (free),-,-,-,-,-,-,-,-,-,-,-,-,Man,25-34,Working full-time
Yes,LS2 ,LS20,Car/Van (Single Occupant),7,The railway station,Train,15,The railway station,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,N/A - Non working day,Train,Work from Home,N/A - Non working day,N/A - Non working day,4,1,Fully electric,-,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,55-64,Working part-time
Yes,LS2 ,LS29,"Walk, wheel or run",7,The railway station,Train,23,The railway station,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,N/A - Non working day,Train,Work from Home,N/A - Non working day,N/A - Non working day,4,1,Petrol,Petrol up to 1.4L,No,In another private car park,Between £5-£10,1 low,1 low,1 low,1 low,3,5 high,1 low,1 low,1 low,1 low,5 high,1 low,Woman,35-44,Working part-time
Yes,LS2 ,WF1 ,Car/Van share (driver),10,The railway station,Train,12,The railway station,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,Train,Work from Home,Train,Train,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,3,Petrol,Petrol 1.4-2.0L,No,In a public car park,Between £5-£10,1 low,2,3,1 low,3,5 high,1 low,1 low,1 low,1 low,3,1 low,Man,35-44,Working full-time
Yes,LS2 ,Hx3 ,"Walk, wheel or run",20,The railway station,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Train,Work from Home,Train,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,3,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
Yes,LS2 ,OL14,"Walk, wheel or run",25,The railway station,Train,55,The railway station,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,Train,Work from Home,Work from Home,Train,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,2,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,25-34,Working full-time
Yes,LS2 ,WF33,Car/Van share (driver),2,The railway station,Train,10,The railway station,"Walk, wheel or run",12,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Train,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol 1.4-2.0L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,35-44,Working part-time
Yes,LS2 ,Hg2 ,"Walk, wheel or run",20,The bus stop,Bus,60,The bus stop,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Car/Van Share (Driver),Work from Home,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol 1.4-2.0L,No,In another private car park,Between £5-£10,1 low,1 low,1 low,1 low,4,4,1 low,1 low,1 low,1 low,5 high,1 low,Woman,55-64,Working full-time
Yes,LS2 ,LS20,"Walk, wheel or run",5,The railway station,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Train,Train,Train,Work from Home,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,3,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,45-54,Working full-time
Yes,LS2 ,yo10,Car/Van (Single Occupant),60,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Train,Work from Home,Train,Work from Home,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,25-34,Working full-time
Yes,LS2 ,LS29,"Walk, wheel or run",10,The railway station,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Train,Work from Home,Train,Work from Home,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,2,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
